# For a description of the format of this file, see $WCSIM_SOURCE_DIR/doc/PMTPositionTableFormat.md

#DATASTART
4 175 0 -452.93300000 3502.10000000 2130.00000000 0.258819 -0.965926 0.00000000 0 1
4 176 0 -1358.80000000 3259.38000000 2130.00000000 0.258819 -0.965926 0.00000000 0 1
4 177 0 -2143.30000000 2806.44000000 2130.00000000 0.707107 -0.707107 0.00000000 0 1
4 178 0 -2806.44000000 2143.30000000 2130.00000000 0.707107 -0.707107 0.00000000 0 1
4 179 0 -3259.38000000 1358.80000000 2130.00000000 0.965926 -0.258819 0.00000000 0 1
4 180 0 -3502.10000000 452.93300000 2130.00000000 0.965926 -0.258819 0.00000000 0 1
4 181 0 -3502.10000000 -452.93300000 2130.00000000 0.965926 0.258819 0.00000000 0 1
4 182 0 -3259.38000000 -1358.80000000 2130.00000000 0.965926 0.258819 0.00000000 0 1
4 183 0 -2806.44000000 -2143.30000000 2130.00000000 0.707107 0.707107 0.00000000 0 1
4 184 0 -2143.30000000 -2806.44000000 2130.00000000 0.707107 0.707107 0.00000000 0 1
4 185 0 -1358.80000000 -3259.38000000 2130.00000000 0.258819 0.965926 0.00000000 0 1
4 186 0 -452.93300000 -3502.10000000 2130.00000000 0.258819 0.965926 0.00000000 0 1
4 187 0 452.93300000 -3502.10000000 2130.00000000 -0.258819 0.965926 0.00000000 0 1
4 188 0 1358.80000000 -3259.38000000 2130.00000000 -0.258819 0.965926 0.00000000 0 1
4 189 0 2143.30000000 -2806.44000000 2130.00000000 -0.707107 0.707107 0.00000000 0 1
4 190 0 2806.44000000 -2143.30000000 2130.00000000 -0.707107 0.707107 0.00000000 0 1
4 191 0 3259.38000000 -1358.80000000 2130.00000000 -0.965926 0.258819 0.00000000 0 1
4 192 0 3502.10000000 -452.93300000 2130.00000000 -0.965926 0.258819 0.00000000 0 1
4 193 0 3502.10000000 452.93300000 2840.00000000 -0.965926 -0.258819 0.00000000 0 1
4 194 0 3259.38000000 1358.80000000 2840.00000000 -0.965926 -0.258819 0.00000000 0 1
4 195 0 2806.44000000 2143.30000000 2840.00000000 -0.707107 -0.707107 0.00000000 0 1
4 196 0 2143.30000000 2806.44000000 2840.00000000 -0.707107 -0.707107 0.00000000 0 1
4 197 0 1358.80000000 3259.38000000 2840.00000000 -0.258819 -0.965926 0.00000000 0 1
4 198 0 452.93300000 3502.10000000 2840.00000000 -0.258819 -0.965926 0.00000000 0 1
4 199 0 -452.93300000 3502.10000000 2840.00000000 0.258819 -0.965926 0.00000000 0 1
4 200 0 -1358.80000000 3259.38000000 2840.00000000 0.258819 -0.965926 0.00000000 0 1
4 201 0 -2143.30000000 2806.44000000 2840.00000000 0.707107 -0.707107 0.00000000 0 1
4 202 0 -2806.44000000 2143.30000000 2840.00000000 0.707107 -0.707107 0.00000000 0 1
4 203 0 -3259.38000000 1358.80000000 2840.00000000 0.965926 -0.258819 0.00000000 0 1
4 204 0 -3502.10000000 452.93300000 2840.00000000 0.965926 -0.258819 0.00000000 0 1
4 205 0 -3502.10000000 -452.93300000 2840.00000000 0.965926 0.258819 0.00000000 0 1
4 206 0 -3259.38000000 -1358.80000000 2840.00000000 0.965926 0.258819 0.00000000 0 1
4 207 0 -2806.44000000 -2143.30000000 2840.00000000 0.707107 0.707107 0.00000000 0 1
4 208 0 -2143.30000000 -2806.44000000 2840.00000000 0.707107 0.707107 0.00000000 0 1
4 209 0 -1358.80000000 -3259.38000000 2840.00000000 0.258819 0.965926 0.00000000 0 1
4 210 0 -452.93300000 -3502.10000000 2840.00000000 0.258819 0.965926 0.00000000 0 1
4 211 0 452.93300000 -3502.10000000 2840.00000000 -0.258819 0.965926 0.00000000 0 1
4 212 0 1358.80000000 -3259.38000000 2840.00000000 -0.258819 0.965926 0.00000000 0 1
4 213 0 2143.30000000 -2806.44000000 2840.00000000 -0.707107 0.707107 0.00000000 0 1
4 214 0 2806.44000000 -2143.30000000 2840.00000000 -0.707107 0.707107 0.00000000 0 1
4 215 0 3259.38000000 -1358.80000000 2840.00000000 -0.965926 0.258819 0.00000000 0 1
4 216 0 3502.10000000 -452.93300000 2840.00000000 -0.965926 0.258819 0.00000000 0 1
4 217 2 3502.10000000 452.93300000 3550.00000000 -0.965926 -0.258819 0.00000000 0 1
4 218 2 3259.38000000 1358.80000000 3550.00000000 -0.965926 -0.258819 0.00000000 0 1
4 219 2 2806.44000000 2143.30000000 3550.00000000 -0.707107 -0.707107 0.00000000 0 1
